Degree,Model,Train R2,Test R2,Train RMSE,Test RMSE,Train MAE,Test MAE,Train MAPE,Test MAPE,Train MSE,Test MSE
1,LinearRegression,0.9810618578292495,0.9822374119270214,59.076993179047335,48.14686765736253,47.129731580723835,39.40238414682573,0.041855113313503264,0.03701633295557161,3490.0911230772053,2318.1208652155815
1,Ridge (alpha=0.1),0.9810613405407547,0.9822752132282409,59.07780000687449,48.095608697144904,47.16862886335888,39.40972614109042,0.04190456902814053,0.037037187659012386,3490.18645365226,2313.1875759488807
1,Ridge (alpha=1),0.9810108083271225,0.9825634971435645,59.156563324325404,47.70288095441263,47.523372532658335,39.47527866709265,0.04235918844047133,0.037223458985382006,3499.498984344921,2275.564851350863
1,Ridge (alpha=10),0.9765679776880631,0.9809694744271434,65.71349756773846,49.8356706589893,53.911513997334666,42.06768409690222,0.05011167647376602,0.04090196307724681,4318.2637625851685,2483.594070031247
1,Lasso (alpha=0.1),0.981061589404576,0.9822700294035221,59.077411849111996,48.10264124941226,47.15095669049717,39.391879507779386,0.041877670521887456,0.037005713423645184,3490.1405907895983,2313.864095169658
1,Lasso (alpha=1),0.9810350495792526,0.9825326883797996,59.11879217672842,47.74500574807986,47.349039026493614,39.297261563226385,0.04209336959135148,0.03690999608389477,3495.0315884352053,2279.585573884179
1,Lasso (alpha=10),0.9783813746518036,0.9821122834984891,63.11952681064891,48.3161551820825,51.40787571078283,39.52036527987155,0.04648942812220631,0.03736158330669921,3984.0746648002264,2334.4508515790776
2,LinearRegression,0.9834632844422313,0.982520683015816,55.204480200555125,47.76141061130664,43.842163979037835,36.53026235704073,0.038726716608626144,0.03483915575446199,3047.534634213483,2281.152343581834
2,Ridge (alpha=0.1),0.9834627084457707,0.9825384734792469,55.20544161602532,47.73709862172791,43.854177240635686,36.509057869726526,0.038753873902877066,0.03486308708529674,3047.64078402038,2278.830584820577
2,Ridge (alpha=1),0.9834066200877298,0.982625936300749,55.298980559890914,47.61739365866511,44.002707047416024,36.32082387002906,0.039042616783045096,0.035077057310054435,3057.9772509631935,2267.4161788442802
2,Ridge (alpha=10),0.978608346374959,0.9775873615510621,62.787309823103534,54.083079011868996,51.78524258381228,41.40695750501933,0.04794599749096147,0.04216568698921238,3942.246274822394,2924.979435404065
2,Lasso (alpha=0.1),0.9834620680525967,0.9825831025949744,55.20651049860526,47.676055060389984,43.80077227951184,36.498337858862364,0.038721237332844605,0.034829994531454536,3047.758801432613,2273.0062261213375
2,Lasso (alpha=1),0.9833498215020987,0.9829628091597201,55.393542990428145,47.15349737839661,43.75598194702854,36.53945014729987,0.038926571337401995,0.03492088250578487,3068.4446050324113,2223.4523150144555
2,Lasso (alpha=10),0.9788126350950787,0.9825171381719676,62.48678350339393,47.766253425235654,50.93897295884438,38.673633193699885,0.04606279798919713,0.036820952604678735,3904.598112600024,2281.614966283837
3,LinearRegression,0.9882545103368795,0.9667444005654166,46.52487985636251,65.87904669500915,36.92909624912607,53.29026466979858,0.03190285181648986,0.04869119145669011,2164.5644456489663,4340.048793443197
3,Ridge (alpha=0.1),0.9882448566026782,0.9670645793339641,46.54399555893237,65.56114402092224,37.02020069760592,52.92092320479658,0.03201667002040981,0.048330328738394206,2166.3435225899166,4298.263605332108
3,Ridge (alpha=1),0.9875642300170099,0.9670780060823342,47.87249220279199,65.54777903727992,38.44953618396173,52.59162257779597,0.03348430760856787,0.04795070216836388,2291.77550970638,4296.511336720074
3,Ridge (alpha=10),0.9751517433947043,0.9450838341849099,67.67023091693709,84.65741820845227,52.49900326528212,66.67300159298892,0.04665109656452651,0.06253603364920617,4579.260152351589,7166.878457720787
3,Lasso (alpha=0.1),0.9882353134021351,0.9683140350682146,46.5628846764723,64.3055392499569,36.946814298001456,52.10693578492318,0.031952694322927334,0.04761012435279357,2168.1022293944593,4135.2023782277465
3,Lasso (alpha=1),0.9873391290280255,0.9757164735252866,48.303821214996596,56.29512575980394,38.6654589165246,45.817305753113374,0.03362805741417124,0.04287374214529137,2333.259143970355,3169.141184312141
3,Lasso (alpha=10),0.9776956442507032,0.9717439377176141,64.1127696244351,60.7254491131249,52.743669240787796,49.29910637449875,0.047654108828056825,0.048799915860374604,4110.447228915888,3687.580169990722
4,LinearRegression,0.9970535141931863,0.8205952470859254,23.30246549288914,153.014253582948,17.162198621651207,118.38246693610402,0.014542672942502647,0.10690783454906216,543.0048980472891,23413.361799546714
4,Ridge (alpha=0.1),0.9969598981905029,0.8813547248537086,23.669754894753712,124.43430880720675,17.598719446205767,99.78524410885048,0.015074498157148954,0.08809507030060197,560.2572967777173,15483.897208327291
4,Ridge (alpha=1),0.9954794739191832,0.9251627180447617,28.863180574084144,98.82661467012124,21.660171265151323,82.62148945359203,0.019099639689462083,0.07631524197774602,833.0831928521883,9766.699767156624
4,Ridge (alpha=10),0.9834514553875484,0.9300139214024554,55.22422112418039,95.56981513556975,41.284093526208565,72.68299794665162,0.036282392498907266,0.06990663382937085,3049.714598772371,9133.589565046977
4,Lasso (alpha=0.1),0.9965508649733238,0.9105564712953018,25.21185466987786,108.04119476078597,18.44629285639931,83.60010730375141,0.016047733784065425,0.07590371414412912,635.637615895042,11672.899765338087
4,Lasso (alpha=1),0.9918669004270096,0.9711123522625177,38.714864312553146,61.400372462919535,29.822886676146872,49.32053779017078,0.025626757176687755,0.048404719443353166,1498.8407187394012,3770.0057385852474
4,Lasso (alpha=10),0.9782906903968523,0.9726515920686936,63.25177289766293,59.7421627306636,52.137385257251374,47.758686995317284,0.0467614248552769,0.046755039213433144,4000.786774697527,3569.1260077370907
5,LinearRegression,1.0,0.641557787350096,1.2965142395541547e-12,216.28404866515572,9.12742897136403e-13,151.82627374251385,8.485312366200369e-16,0.15724148142796573,1.6809491733666883e-24,46778.789706991454
5,Ridge (alpha=0.1),0.9999551993806854,0.6971859871208851,2.8733710090605804,198.7938295931221,1.0886039011408042,140.60207765955198,0.0009064474462205563,0.144869772848544,8.256260955709818,39518.98668429927
5,Ridge (alpha=1),0.999173596220393,0.8145394948525846,12.340871897196843,155.5752956706292,5.619023631265468,110.3738357394177,0.004810961856419262,0.11038253796673174,152.2971191830228,24203.6726230037
5,Ridge (alpha=10),0.9919042921177506,0.8817257028090746,38.62576655238348,124.23961699642713,22.88561029454074,89.88783154690555,0.020194602617598242,0.08545508986874492,1491.9498417592265,15435.482431418905
5,Lasso (alpha=0.1),0.9995929158397995,0.8620175080648003,8.661473856810616,134.19208718313533,4.747022354492941,87.23195853268531,0.004152413928364903,0.09505988071578497,75.02112937221378,18007.51626256619
5,Lasso (alpha=1),0.9951370182938093,0.9624941871651799,29.936499373069726,69.9623206949576,21.32785983301569,51.17805840024081,0.01840391457767763,0.04960278381934003,896.1939947138042,4894.726317024093
5,Lasso (alpha=10),0.9777735236491573,0.9651409895437205,64.00074150437489,67.44852289313899,51.21204848652922,52.121132623742945,0.04457793733740421,0.051647916019821126,4096.094913109814,4549.303240466294
